code,code_name,tabela,filter,foreign_table,tipo_geometria
1,Poço dágua (1),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
2,Poço artesiano (2),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
3,Olho dágua (3),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
6,Foz marítima (6),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
8,Rocha em água (8),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
9,Cachoeira (9),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
10,Salto (10),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
11,Catarata (11),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
12,Corredeira (12),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
14,Banco de areia fluvial (14),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
15,Banco de areia marítimo (15),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
16,Banco de areia lacustre (16),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
17,Banco de areia cordão arenoso (17),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
18,Recife contiguo (18),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
19,Recife afastado (19),tipo_elemento_hidrografico,NULL,centroide_elemento_hidrografico,p
1,Fluvial (1),tipo_ilha,NULL,centroide_ilha,p
2,Marítima (2),tipo_ilha,NULL,centroide_ilha,p
3,Lacustre (3),tipo_ilha,NULL,centroide_ilha,p
2,Terra indígena (2),tipo_limite_especial,NULL,centroide_limite_especial,p
5,Unidade de Conservação (5),tipo_limite_especial,NULL,centroide_limite_especial,p
24,Área de Proteção Ambiental – APA (24),tipo_limite_especial,NULL,centroide_limite_especial,p
25,Área de Relevante Interesse Ecológico – ARIE (25),tipo_limite_especial,NULL,centroide_limite_especial,p
26,Floresta – FLO (26),tipo_limite_especial,NULL,centroide_limite_especial,p
27,Reserva de Desenvolvimento Sustentável – RDS (27),tipo_limite_especial,NULL,centroide_limite_especial,p
28,Reserva Extrativista – RESEX (28),tipo_limite_especial,NULL,centroide_limite_especial,p
29,Reserva de Fauna – REFAU (29),tipo_limite_especial,NULL,centroide_limite_especial,p
30,Reserva Particular do Patrimônio Natural – RPPN (30),tipo_limite_especial,NULL,centroide_limite_especial,p
31,Estação Ecológica – ESEC (31),tipo_limite_especial,NULL,centroide_limite_especial,p
32,Parque – PAR (32),tipo_limite_especial,NULL,centroide_limite_especial,p
33,Monumento Natural – MONA (33),tipo_limite_especial,NULL,centroide_limite_especial,p
34,Reserva Biológica – REBIO (34),tipo_limite_especial,NULL,centroide_limite_especial,p
35,Refúgio de Vida Silvestre – RVS (35),tipo_limite_especial,NULL,centroide_limite_especial,p
36,Área militar (36),tipo_limite_especial,NULL,centroide_limite_especial,p
1,Rio (com fluxo) (1),tipo_massa_dagua,NULL,centroide_massa_dagua,p
2,Canal (com fluxo) (2),tipo_massa_dagua,NULL,centroide_massa_dagua,p
3,Oceano (sem fluxo) (3),tipo_massa_dagua,NULL,centroide_massa_dagua,p
4,Baía (sem fluxo) (4),tipo_massa_dagua,NULL,centroide_massa_dagua,p
5,Enseada (sem fluxo) (5),tipo_massa_dagua,NULL,centroide_massa_dagua,p
6,Meando Abandonado (sem fluxo) (6),tipo_massa_dagua,NULL,centroide_massa_dagua,p
7,Lago ou Lagoa (sem fluxo) (7),tipo_massa_dagua,NULL,centroide_massa_dagua,p
9,Laguna (com fluxo) (9),tipo_massa_dagua,NULL,centroide_massa_dagua,p
10,Represa/açude com fluxo (10),tipo_massa_dagua,NULL,centroide_massa_dagua,p
11,Represa/açude sem fluxo (11),tipo_massa_dagua,NULL,centroide_massa_dagua,p
12,Canal não operacional (sem fluxo) (12),tipo_massa_dagua,NULL,centroide_massa_dagua,p
150,Cult - Arroz de inundação (150),tipo_veg,Vegetação Cultivada,centroide_vegetacao,p
194,Cult - Perene (194),tipo_veg,Vegetação Cultivada,centroide_vegetacao,p
196,Cult - Anual irrigado (196),tipo_veg,Vegetação Cultivada,centroide_vegetacao,p
197,Cult - Anual não irrigado (197),tipo_veg,Vegetação Cultivada,centroide_vegetacao,p
201,Mangue (201),tipo_veg,Mangue,centroide_vegetacao,p
301,Brejo/pântano (301),tipo_veg,Brejo ou pântano,centroide_vegetacao,p
401,Restinga (401),tipo_veg,Restinga,centroide_vegetacao,p
501,Campinarana (501),tipo_veg,Campinarana,centroide_vegetacao,p
601,Floresta densa (601),tipo_veg,Floresta,centroide_vegetacao,p
602,Floresta esparsa (602),tipo_veg,Floresta,centroide_vegetacao,p
